checkpoint,status,scope,evidence,modified_files,next_checkpoint
10,completed,Productive warm-up/fine-tuning and atomic save/load under the required Financial-GPT S3 root,91 tests passed; atomic commit marker; per-file SHA-256 manifest; immutable run IDs; latest.json updated after _SUCCESS; exact model roundtrip; incomplete and tampered runs rejected; notebook save/load smoke wired to required user S3 prefix,global_s3.py; global_manager.py; code_03_GLOBAL_DRL.ipynb; tests/test_checkpoint_10_training_and_s3_save_load.py; CHECKPOINT_10_TRAINING_AND_S3_SAVE_LOAD.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,11_four_global_notebooks_and_local_global_monitor
11,completed,Preserve four local notebooks and create four explicit global notebooks; compare all eight pipelines plus naive in the final monitor,97 tests collected; checkpoint 11 and modified inherited tests pass; monolithic suite reached runner timeout after 51 tests without failures; 25 protected runtime files and four code_02 notebooks hash-identical; four architecture-fixed code_03 notebooks; metrics recalculated on common test dates; local/global/naive winner and ensemble by cross_key_id,financial_gpt_monitor.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; CHECKPOINT_11_FOUR_GLOBAL_NOTEBOOKS_AND_LOCAL_GLOBAL_MONITOR.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
12,completed,Separate official local and Financial-GPT monitors: monitor 02 local-only; monitor 03 four global models plus naive,101 tests collected; 10 affected checkpoint 11/12 tests pass; monitor_codigo_02 SHA-256 unchanged; four local and four global training notebooks unchanged; global-only monitor inventory fixed at five candidates; compileall and notebook-clean gates pass,financial_gpt_monitor.py; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_12_monitor_scope_separation.py; CHECKPOINT_12_MONITOR_SCOPE_SEPARATION.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
13,completed,Unify local and global monitor baselines without mixing model families,104 tests collected; 13 checkpoint 11-13 monitor tests pass; 39 checkpoint 0-3 inherited tests pass; NAIVE_ZERO restricted to variacion; weekly seasonal naive configurable; both official monitors inventory seven candidates; compileall and notebook-clean gates pass,financial_gpt_monitor.py; monitor_codigo_02.ipynb; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_12_monitor_scope_separation.py; tests/test_checkpoint_13_unified_financial_baselines.py; CHECKPOINT_13_UNIFIED_FINANCIAL_BASELINES.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
14,completed,"Agnostic temporal axis, auditable target/exogenous alignment and forecast over provider-defined valid steps","TemporalAxis supports daily, business-like, monthly and irregular timestamps without frequency hardcoding; forecast skips absent timestamps; explicit insufficient-future errors; backtest run report; four global notebooks export alignment evidence",temporal_axis.py; global_data.py; global_notebook.py; global_monitoring.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_14_temporal_axis_alignment.py; CHECKPOINT_14_TEMPORAL_AXIS_ALIGNMENT.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
15,completed,"Training/evaluation integrity: coherent selection metric, stable variation transform, task heads, test-only metrics, train-referenced outliers and configurable global notebooks",47 focused regression tests pass; four-architecture dual-head smoke passes; seven losses finite; notebook code compiles and outputs are empty; compileall passes; heavy monolithic suite not completed due runner time limit,global_data.py; global_models.py; global_training.py; global_curriculum.py; global_monitoring.py; global_manager.py; tools.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_2_global_window_dataset.py; tests/test_checkpoint_15_training_and_evaluation_integrity.py; CHECKPOINT_15_TRAINING_AND_EVALUATION_INTEGRITY.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
16,completed,Remove series-type forecast heads; open the series vocabulary; add universal context scaling and an auxiliary autoencoder regularizer on the shared latent space,124 tests pass in two groups; all four architectures expose one y_pred and one context reconstruction; arbitrary non-empty series types accepted; scaler has no series-type branch; beta_ae/capacity tuned by HPO; reconstruction gradients reach shared encoder; VAE beta_kl remains separate; artifact schema 1.2,global_contracts.py; global_long_schema.py; global_data.py; global_models.py; global_training.py; global_curriculum.py; global_manager.py; global_monitoring.py; tests/test_checkpoint_0_global_contracts.py; tests/test_checkpoint_1_global_long_schema.py; tests/test_checkpoint_2_global_window_dataset.py; tests/test_checkpoint_4_global_hpo_training.py; tests/test_checkpoint_6_global_manager_and_persistence.py; tests/test_checkpoint_9_original_methodology_alignment.py; tests/test_checkpoint_15_training_and_evaluation_integrity.py; tests/test_checkpoint_16_agnostic_autoencoder_regularization.py; CHECKPOINT_16_AGNOSTIC_AUTOENCODER_REGULARIZATION.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
17,completed,"Numerical stability, automatic warm-up recovery and durable HPO evidence",20 focused tests pass; signed-log inverse is overflow-safe; raw sMAPE remains finite for extreme predictions; non-finite epochs rollback model and optimizer then reduce LR; model parameters checked after optimizer step; HPO result committed before warm-up; four global notebooks persist Optuna to SQLite and expose recovery controls,global_data.py; global_training.py; global_curriculum.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_17_numerical_stability_and_hpo_recovery.py; CHECKPOINT_17_NUMERICAL_STABILITY_AND_HPO_RECOVERY.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
18,completed,Optional auxiliary autoencoder switch and one-file monitor export,30 focused tests pass; all four architectures run with AE enabled or disabled; disabled mode omits reconstruction head/loss/HPO parameters; VAE KL remains independent; monitor writes exactly one financial_gpt_monitor.json; modified notebooks compile with empty outputs,global_models.py; global_training.py; financial_gpt_monitor.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_18_optional_autoencoder_and_single_monitor_json.py; CHECKPOINT_18_OPTIONAL_AUTOENCODER_AND_SINGLE_MONITOR_JSON.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
19,completed,"Causal train-only representation: linear context scale, x_static, grouped split and leakage-free curriculum",Regression suite validates exact linear roundtrip; no context_mask; train-only difficulty/static/exogenous contracts; account saldo/variacion stay in one partition; all four architectures run with AE on/off; notebooks compile cleanly; artifact schema 1.3,global_contracts.py; global_long_schema.py; global_data.py; global_models.py; global_training.py; global_curriculum.py; global_notebook.py; global_manager.py; global_monitoring.py; code_01.ipynb; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_19_causal_representation_no_leakage.py; CHECKPOINT_19_CAUSAL_REPRESENTATION_NO_LEAKAGE.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
20,completed,"Coherent causal MASE objective, hierarchical balanced sampling, two-fidelity HPO and controlled curriculum-vs-shuffled training","148 tests pass across 21 modules; 7 dedicated checkpoint-20 gates; 20 Python modules and 12 notebooks/157 code cells compile cleanly; causal MASE, balanced sampler, medium-fidelity HPO, equal training-order budgets and single-metric monitor validated",global_data.py; global_training.py; global_curriculum.py; global_notebook.py; global_manager.py; financial_gpt_monitor.py; monitor_codigo_03_FINANCIAL_GPT.ipynb; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_20_coherent_objective_sampling_curriculum.py; CHECKPOINT_20_COHERENT_OBJECTIVE_BALANCED_SAMPLING_CURRICULUM.md; CHECKPOINT_20_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,21_four_architecture_controlled_competition
21,completed,GTRM Stage 1 global representation base: explicit history_embedding contract and static-context ablation,compileall passes; GTRM flags defined; all global models expose representation_contract and output validators; use_static_context can be disabled without changing forward fields; embedding export utility and dedicated checkpoint-21 tests added,global_contracts.py; global_data.py; global_models.py; global_notebook.py; gtrm_representation.py; tests/test_checkpoint_21_gtrm_stage1_representation_base.py; CHECKPOINT_21_GTRM_STAGE1_REPRESENTATION_BASE.md; CHECKPOINT_21_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22_global_local_residual_decoder
21.1,completed,GTRM config architecture: single ModelConfig source of truth for Stage 1 flags,4 targeted pytest tests pass; compileall passes; all GLOBAL code_03 notebooks expose GTRM flags in the main config cell and pass GTRMModelConfig into notebook/dataset factories,gtrm_config.py; gtrm_representation.py; global_notebook.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_21_1_gtrm_config_architecture.py; CHECKPOINT_21_1_GTRM_CONFIG_ARCHITECTURE.md; CHECKPOINT_21_1_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22_global_local_residual_decoder
21.2,completed,Stage 1 acceptance report for Global Representation Base,4 targeted pytest tests pass; compileall with SyntaxWarning as error passes; report compares best global candidate vs best baseline per series using MASE/WMAPE/P90/%series_improved,gtrm_acceptance.py; tests/test_checkpoint_21_2_stage1_acceptance_report.py; CHECKPOINT_21_2_STAGE1_ACCEPTANCE_REPORT.md; CHECKPOINT_21_2_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,21.3_history_embedding_export_diagnostics
21.3,completed,History embedding export and diagnostics for GTRM Stage 1,"Targeted pytest tests pass; compileall with SyntaxWarning as error passes; history_embeddings export writer, schema, dimension report, by-series drift and cohort summaries validated",gtrm_embedding_diagnostics.py; gtrm_representation.py; tests/test_checkpoint_21_3_history_embedding_diagnostics.py; CHECKPOINT_21_3_HISTORY_EMBEDDING_EXPORT_AND_DIAGNOSTICS.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,21.4_static_context_ablation
21.4,completed,Static-context ablation for GTRM Stage 1: GTRM-A use_static_context=False vs GTRM-B use_static_context=True,"5 targeted pytest tests pass; compileall with SyntaxWarning as error passes; static/no-static per-series comparison, cohort slicing and auditable artifacts validated",gtrm_static_ablation.py; tests/test_checkpoint_21_4_static_context_ablation.py; CHECKPOINT_21_4_STATIC_CONTEXT_ABLATION.md; CHECKPOINT_21_4_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22_local_residual_decoder
22,completed,Local residual decoder for GTRM Stage 2: y_pred = y_global + delta_local,"3 targeted tests pass and 2 skip in this container due to missing polars; 21.1+22 targeted tests: 7 passed, 2 skipped; strict compileall passes; four global architectures keep forward contract and expose residual diagnostics in extras",global_contracts.py; global_models.py; global_training.py; global_notebook.py; gtrm_config.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_local_residual_decoder.py; CHECKPOINT_22_LOCAL_RESIDUAL_DECODER.md; CHECKPOINT_22_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.1_residual_diagnostics_acceptance_report

22.2,completed,Agnostic event/magnitude/direction auxiliary heads for GTRM Stage 2.2,3 targeted tests pass; strict compileall passes; targets are generated per-window from scaled movement; final forecast remains y_global + delta_local,global_data.py; global_models.py; global_training.py; global_contracts.py; gtrm_config.py; global_notebook.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_2_agnostic_auxiliary_heads.py; CHECKPOINT_22_2_AGNOSTIC_AUXILIARY_HEADS.md; CHECKPOINT_22_2_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.3_modelability_gate_or_attention_pooling
22.1,completed,Pooled balanced training schedule with training_order=pooled and notebook compute defaults,Targeted pooled sampling tests pass; pooled mode keeps all curriculum levels in one balanced productive stage,global_curriculum.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_1_pooled_balanced_training.py; CHECKPOINT_22_1_POOLED_BALANCED_TRAINING.md; CHECKPOINT_22_1_VALIDATION.txt,22.2_agnostic_auxiliary_heads
22.2.1,completed,Normalized auxiliary loss block and HPO shares while preserving the primary forecast objective,Targeted auxiliary block tests pass; legacy per-head weighting remains supported when block mode is disabled,global_models.py; global_training.py; global_curriculum.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_2_1_auxiliary_loss_block_hpo.py; CHECKPOINT_22_2_1_AUXILIARY_LOSS_BLOCK_HPO.md; CHECKPOINT_22_2_1_VALIDATION.txt,22.2.2_curriculum_aux_targets_fix
22.2.2,completed,Pass auxiliary targets through curriculum training and defragment TemporalAxis conversion,Targeted tests verify auxiliary targets reach the curriculum loss and TemporalAxis.to_polars emits no pandas fragmentation warning,global_curriculum.py; temporal_axis.py; tests/test_checkpoint_22_2_2_curriculum_aux_targets_and_temporal_axis.py,22.2.3_notebook_contract_hardening
22.2.3,completed,Notebook contract hardening with strict Pydantic run contracts and ordered public training workflow,Six targeted checkpoint tests pass; four notebooks compile without outputs; no private manager methods or result attributes are used; strict compileall and full regression suite validated,global_pipeline.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_17_numerical_stability_and_hpo_recovery.py; tests/test_checkpoint_22_2_3_notebook_contract_hardening.py; CHECKPOINT_22_2_3_NOTEBOOK_CONTRACT_HARDENING.md; CHECKPOINT_22_2_3_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.3_modality_specific_input_encoders
22.3,completed,Modality-specific input encoders and explicit fusion for GTRM Stage 2.3,"Seven targeted tests and 199 full regression tests pass by isolated groups; all four architectures encode target, historical exogenous, future exogenous and static inputs independently; HPO covers encoder dimensions/depth/dropout/activation; notebooks compile cleanly",global_contracts.py; gtrm_config.py; global_models.py; global_training.py; global_pipeline.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_3_modality_specific_input_encoders.py; CHECKPOINT_22_3_MODALITY_SPECIFIC_INPUT_ENCODERS.md; CHECKPOINT_22_3_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.4_autoregressive_residual_refinement
22.3.1,completed,Standardized pooled productive training workflow without nominal warm-up fine-tune or consolidation phases,"203 regression tests pass by isolated groups; public workflow is HPO+pooled training -> backtest -> forecast; pooled continuation keeps the same data distribution and only lowers LR; notebooks contain no inactive phase parameters",global_curriculum.py; global_pipeline.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_3_1_standardized_pooled_training.py; CHECKPOINT_22_3_1_STANDARDIZED_POOLED_TRAINING.md; CHECKPOINT_22_3_1_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.4_autoregressive_residual_refinement
22.3.2,completed,Active configuration and HPO surface hardening with strict Pydantic contracts and explicit encoder search spaces,"207 regression tests pass by isolated groups; four checkpoint-specific gates pass; dead notebook controls removed; defaults and Optuna space separated; HPO expanded to 80 trials and 12-epoch medium fidelity; notebooks compile cleanly",global_surface_config.py; global_training.py; global_pipeline.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_3_2_active_configuration_hpo_surface.py; tests/test_checkpoint_22_3_modality_specific_input_encoders.py; tests/test_checkpoint_22_2_3_notebook_contract_hardening.py; tests/test_checkpoint_9_original_methodology_alignment.py; tests/test_checkpoint_20_coherent_objective_sampling_curriculum.py; CHECKPOINT_22_3_2_ACTIVE_CONFIGURATION_HPO_SURFACE_HARDENING.md; CHECKPOINT_22_3_2_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.4_autoregressive_residual_refinement
22.3.2a,completed,Active configuration hotfix removing unused notebook controls and circular construction,"210 regression tests pass by isolated groups; GTRM_STAGE removed from user surface; HPO timeout wired directly; Pydantic blocks built independently; four notebooks compile cleanly without outputs",code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_3_2a_active_configuration_hotfix.py; CHECKPOINT_22_3_2A_ACTIVE_CONFIGURATION_HOTFIX.md; CHECKPOINT_22_3_2A_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.3.3_forecast_monitoring_plot_safety
22.3.2b,completed,Temporal horizon separation between total forecast length rollout block and training stride,"216 regression tests pass by isolated groups; six checkpoint-specific gates pass; FORECAST_HORIZON=25 caps total exported steps; ROLLOUT_CHUNK_SIZE=3 defines training target and model output width; TRAINING_STRIDE controls only sliding-window origins; four notebooks compile cleanly",global_surface_config.py; global_notebook.py; global_pipeline.py; global_manager.py; global_monitoring.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_22_3_2b_temporal_horizon_separation.py; CHECKPOINT_22_3_2B_TEMPORAL_HORIZON_SEPARATION.md; CHECKPOINT_22_3_2B_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,22.3.3_forecast_monitoring_plot_safety
