checkpoint,status,scope,evidence,modified_files,next_checkpoint
10,completed,Productive warm-up/fine-tuning and atomic save/load under the required Financial-GPT S3 root,91 tests passed; atomic commit marker; per-file SHA-256 manifest; immutable run IDs; latest.json updated after _SUCCESS; exact model roundtrip; incomplete and tampered runs rejected; notebook save/load smoke wired to required user S3 prefix,global_s3.py; global_manager.py; code_03_GLOBAL_DRL.ipynb; tests/test_checkpoint_10_training_and_s3_save_load.py; CHECKPOINT_10_TRAINING_AND_S3_SAVE_LOAD.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,11_four_global_notebooks_and_local_global_monitor
11,completed,Preserve four local notebooks and create four explicit global notebooks; compare all eight pipelines plus naive in the final monitor,97 tests collected; checkpoint 11 and modified inherited tests pass; monolithic suite reached runner timeout after 51 tests without failures; 25 protected runtime files and four code_02 notebooks hash-identical; four architecture-fixed code_03 notebooks; metrics recalculated on common test dates; local/global/naive winner and ensemble by cross_key_id,financial_gpt_monitor.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; CHECKPOINT_11_FOUR_GLOBAL_NOTEBOOKS_AND_LOCAL_GLOBAL_MONITOR.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
12,completed,Separate official local and Financial-GPT monitors: monitor 02 local-only; monitor 03 four global models plus naive,101 tests collected; 10 affected checkpoint 11/12 tests pass; monitor_codigo_02 SHA-256 unchanged; four local and four global training notebooks unchanged; global-only monitor inventory fixed at five candidates; compileall and notebook-clean gates pass,financial_gpt_monitor.py; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_12_monitor_scope_separation.py; CHECKPOINT_12_MONITOR_SCOPE_SEPARATION.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
13,completed,Unify local and global monitor baselines without mixing model families,104 tests collected; 13 checkpoint 11-13 monitor tests pass; 39 checkpoint 0-3 inherited tests pass; NAIVE_ZERO restricted to variacion; weekly seasonal naive configurable; both official monitors inventory seven candidates; compileall and notebook-clean gates pass,financial_gpt_monitor.py; monitor_codigo_02.ipynb; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_12_monitor_scope_separation.py; tests/test_checkpoint_13_unified_financial_baselines.py; CHECKPOINT_13_UNIFIED_FINANCIAL_BASELINES.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
14,completed,"Agnostic temporal axis, auditable target/exogenous alignment and forecast over provider-defined valid steps","TemporalAxis supports daily, business-like, monthly and irregular timestamps without frequency hardcoding; forecast skips absent timestamps; explicit insufficient-future errors; backtest run report; four global notebooks export alignment evidence",temporal_axis.py; global_data.py; global_notebook.py; global_monitoring.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_14_temporal_axis_alignment.py; CHECKPOINT_14_TEMPORAL_AXIS_ALIGNMENT.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
15,completed,"Training/evaluation integrity: coherent selection metric, stable variation transform, task heads, test-only metrics, train-referenced outliers and configurable global notebooks",47 focused regression tests pass; four-architecture dual-head smoke passes; seven losses finite; notebook code compiles and outputs are empty; compileall passes; heavy monolithic suite not completed due runner time limit,global_data.py; global_models.py; global_training.py; global_curriculum.py; global_monitoring.py; global_manager.py; tools.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_2_global_window_dataset.py; tests/test_checkpoint_15_training_and_evaluation_integrity.py; CHECKPOINT_15_TRAINING_AND_EVALUATION_INTEGRITY.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
16,completed,Remove series-type forecast heads; open the series vocabulary; add universal context scaling and an auxiliary autoencoder regularizer on the shared latent space,124 tests pass in two groups; all four architectures expose one y_pred and one context reconstruction; arbitrary non-empty series types accepted; scaler has no series-type branch; beta_ae/capacity tuned by HPO; reconstruction gradients reach shared encoder; VAE beta_kl remains separate; artifact schema 1.2,global_contracts.py; global_long_schema.py; global_data.py; global_models.py; global_training.py; global_curriculum.py; global_manager.py; global_monitoring.py; tests/test_checkpoint_0_global_contracts.py; tests/test_checkpoint_1_global_long_schema.py; tests/test_checkpoint_2_global_window_dataset.py; tests/test_checkpoint_4_global_hpo_training.py; tests/test_checkpoint_6_global_manager_and_persistence.py; tests/test_checkpoint_9_original_methodology_alignment.py; tests/test_checkpoint_15_training_and_evaluation_integrity.py; tests/test_checkpoint_16_agnostic_autoencoder_regularization.py; CHECKPOINT_16_AGNOSTIC_AUTOENCODER_REGULARIZATION.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
17,completed,"Numerical stability, automatic warm-up recovery and durable HPO evidence",20 focused tests pass; signed-log inverse is overflow-safe; raw sMAPE remains finite for extreme predictions; non-finite epochs rollback model and optimizer then reduce LR; model parameters checked after optimizer step; HPO result committed before warm-up; four global notebooks persist Optuna to SQLite and expose recovery controls,global_data.py; global_training.py; global_curriculum.py; global_manager.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_17_numerical_stability_and_hpo_recovery.py; CHECKPOINT_17_NUMERICAL_STABILITY_AND_HPO_RECOVERY.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
18,completed,Optional auxiliary autoencoder switch and one-file monitor export,30 focused tests pass; all four architectures run with AE enabled or disabled; disabled mode omits reconstruction head/loss/HPO parameters; VAE KL remains independent; monitor writes exactly one financial_gpt_monitor.json; modified notebooks compile with empty outputs,global_models.py; global_training.py; financial_gpt_monitor.py; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; monitor_codigo_03_FINANCIAL_GPT.ipynb; tests/test_checkpoint_11_four_global_notebooks_and_monitor.py; tests/test_checkpoint_18_optional_autoencoder_and_single_monitor_json.py; CHECKPOINT_18_OPTIONAL_AUTOENCODER_AND_SINGLE_MONITOR_JSON.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
19,completed,"Causal train-only representation: linear context scale, x_static, grouped split and leakage-free curriculum",Regression suite validates exact linear roundtrip; no context_mask; train-only difficulty/static/exogenous contracts; account saldo/variacion stay in one partition; all four architectures run with AE on/off; notebooks compile cleanly; artifact schema 1.3,global_contracts.py; global_long_schema.py; global_data.py; global_models.py; global_training.py; global_curriculum.py; global_notebook.py; global_manager.py; global_monitoring.py; code_01.ipynb; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_19_causal_representation_no_leakage.py; CHECKPOINT_19_CAUSAL_REPRESENTATION_NO_LEAKAGE.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,release_validation
20,completed,"Coherent causal MASE objective, hierarchical balanced sampling, two-fidelity HPO and controlled curriculum-vs-shuffled training","148 tests pass across 21 modules; 7 dedicated checkpoint-20 gates; 20 Python modules and 12 notebooks/157 code cells compile cleanly; causal MASE, balanced sampler, medium-fidelity HPO, equal training-order budgets and single-metric monitor validated",global_data.py; global_training.py; global_curriculum.py; global_notebook.py; global_manager.py; financial_gpt_monitor.py; monitor_codigo_03_FINANCIAL_GPT.ipynb; code_03_GLOBAL_MLP_E_D.ipynb; code_03_GLOBAL_MLP_VaE_D.ipynb; code_03_GLOBAL_RNN_E_D.ipynb; code_03_GLOBAL_RNNBi_E_D.ipynb; tests/test_checkpoint_20_coherent_objective_sampling_curriculum.py; CHECKPOINT_20_COHERENT_OBJECTIVE_BALANCED_SAMPLING_CURRICULUM.md; CHECKPOINT_20_VALIDATION.txt; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,21_four_architecture_controlled_competition
